
===== SHEET OPTIONS LIST (visible) 199x4 =====
A1=S.NO | B1=Name | C1=Symbol | D1=Lot Size (Dec-22)
A124=123 | B124=Mahindra Mahindra Financial Services Ltd | C124=M&MFIN | D124=4000
A125=124 | B125=Mahindra Mahindra Ltd | C125=M&M | D125=700
A126=125 | B126=Manappuram Finance Ltd | C126=MANAPPURAM | D126=6000
A127=126 | B127=Marico Ltd | C127=MARICO | D127=1200
A128=127 | B128=Maruti Suzuki Ltd | C128=MARUTI | D128=100
A129=128 | B129=Max Financial Services Ltd | C129=MFSL | D129=650
A130=129 | B130=Metropolis Healthcare Ltd | C130=METROPOLIS | D130=300
A131=130 | B131=Mindtree Ltd | C131=MINDTREE | D131=200
A132=131 | B132=Motherson Sumi Systems Ltd | C132=MOTHERSON | D132=4500
A133=132 | B133=Mphasis Ltd | C133=MPHASIS | D133=175
A134=133 | B134=Mrf Ltd | C134=MRF | D134=10
A135=134 | B135=Multi Commodity Exchange Ltd | C135=MCX | D135=400
A136=135 | B136=Muthoot Finance Ltd | C136=MUTHOOTFIN | D136=375
A137=136 | B137=National Aluminium Company Ltd | C137=NATIONALUM | D137=4250
A138=137 | B138=Naukri Info Edge Ltd | C138=NAUKRI | D138=125
A139=138 | B139=Navin Fluorine International Ltd | C139=NAVINFLUOR | D139=225
A140=139 | B140=Nbcc Ltd | C140=NBCC | D140=15000
A141=140 | B141=Nestle India Ltd | C141=NESTLEIND | D141=40
A142=141 | B142=Nippon Life India Asset Management Ltd | C142=NAM-INDIA | D142=1600
A143=142 | B143=Nmdc Ltd | C143=NMDC | D143=3350
A144=143 | B144=Ntpc Ltd | C144=NTPC | D144=5700
A145=144 | B145=Oberoi Realty Ltd | C145=OBEROIRLTY | D145=700
A146=145 | B146=Oil Natural Gas Corporation Ltd | C146=ONGC | D146=3850
A147=146 | B147=Oracle Financial Services Software Ltd | C147=OFSS | D147=200
A148=147 | B148=Page Industries Ltd | C148=PAGEIND | D148=15
A149=148 | B149=Persistent Systems Ltd | C149=PERSISTENT | D149=150
A150=149 | B150=Petronet Lng Ltd | C150=PETRONET | D150=3000
A151=150 | B151=Pidilite Industries Ltd | C151=PIDILITIND | D151=250
A152=151 | B152=Pi Industries Ltd | C152=PIIND | D152=250
A153=152 | B153=Piramal Enterprises Ltd | C153=PEL | D153=275
A154=153 | B154=Polycab India Ltd | C154=POLYCAB | D154=300
A155=154 | B155=Power Finance Corporation Ltd | C155=PFC | D155=6200
A156=155 | B156=Power Grid Corporation Of India Ltd | C156=POWERGRID | D156=2700
A157=156 | B157=Punjab National Bank Ltd | C157=PNB | D157=16000
A158=157 | B158=Pvr Cinemas Ltd | C158=PVR | D158=407
A159=158 | B159=Rain Industries Ltd | C159=RAIN | D159=3500
A160=159 | B160=Ramco Cements Ltd | C160=RAMCOCEM | D160=850
A161=160 | B161=Rbl Bank Ltd | C161=RBLBANK | D161=5000
A162=161 | B162=Reliance Industries Ltd | C162=RELIANCE | D162=250
A163=162 | B163=Rural Electrification Corporation Ltd | C163=RECLTD | D163=6000
A164=163 | B164=Sbi Cards Ltd | C164=SBICARD | D164=800
A165=164 | B165=Sbi Life Insurance Ltd | C165=SRTRANSFIN | D165=750
A166=165 | B166=Shree Cement Ltd | C166=SHREECEM | D166=25
A167=166 | B167=Shriram Transport Finance Company Ltd | C167=SBILIFE | D167=600
A168=167 | B168=Siemens Ltd | C168=SIEMENS | D168=275
A169=168 | B169=Srf Ltd | C169=SRF | D169=375
A170=169 | B170=State Bank Of India Ltd | C170=SBIN | D170=1500
A171=170 | B171=Steel Authority Of India Ltd | C171=SAIL | D171=6000
A172=171 | B172=Sun Pharmaceutical Ltd | C172=SUNPHARMA | D172=700
A173=172 | B173=Sun Tv Network Ltd | C173=SUNTV | D173=1500
A174=173 | B174=Syngene International Ltd | C174=SYNGENE | D174=1000
A175=174 | B175=Syngene International Ltd | C175=SYNGENE | D175=1000
A176=175 | B176=Tata Chemicals Ltd | C176=TATACHEM | D176=1000
A177=176 | B177=Tata Communications Ltd | C177=TATACOMM | D177=500
A178=177 | B178=Tata Consumer Products Ltd | C178=TATACONSUM | D178=900
A179=178 | B179=Tata Motors Ltd | C179=TATAMOTORS | D179=1425
A180=179 | B180=Tata Power Ltd | C180=TATAPOWER | D180=3375
A181=180 | B181=Tata Steel Ltd | C181=TATASTEEL | D181=425
A182=181 | B182=Tcs Tata Consultancy Services Ltd | C182=TCS | D182=150
A183=182 | B183=Tech Mahindra Ltd | C183=TECHM | D183=600
A184=183 | B184=Titan Ltd | C184=TITAN | D184=375
A185=184 | B185=Torrent Pharmaceuticals Ltd | C185=TORNTPHARM | D185=250
A186=185 | B186=Torrent Power Ltd | C186=TORNTPOWER | D186=1500
A187=186 | B187=Trent Ltd | C187=TRENT | D187=725
A188=187 | B188=Tvs Motors Ltd | C188=TVSMOTOR | D188=1400
A189=188 | B189=Ultratech Cement Ltd | C189=ULTRACEMCO | D189=100
A190=189 | B190=United Breweries Ltd | C190=UBL | D190=400
A191=190 | B191=United Spirits Ltd | C191=MCDOWELL-N | D191=625
A192=191 | B192=Upl United Phosphorus Ltd | C192=UPL | D192=1300
A193=192 | B193=Vedanta Ltd | C193=VEDL | D193=1550
A194=193 | B194=Vodafone Idea Ltd | C194=IDEA | D194=70000
A195=194 | B195=Voltas Ltd | C195=VOLTAS | D195=500
A196=195 | B196=Whirlpool Of India Ltd | C196=WHIRLPOOL | D196=350
A197=196 | B197=Wipro Ltd | C197=WIPRO | D197=1000
A198=197 | B198=Zee Entertainment Ltd | C198=ZEEL | D198=3000
A199=198 | B199=BS

===== SHEET STOCKS (visible) 30x9 =====
A2=S.NO | B2=DATE | C2=CATEGORY | D2=COMPANY | E2=CURRENT PRICE | F2=QTY | G2=BUY PRICE | H2=SELL PRICE | I2=PROFIT/LOSS
A3=1 | B3=2023-09-10 00:00:00 | C3=BANK | D3=IDFC FIRST BANK | E3=90.05 | F3=500 | G3=90.05
A4=2

===== SHEET Sheet5 (visible) 168x9 =====
A2=S.NO | B2=DATE | C2=CATEGORY | D2=COMPANY | E2=CURRENT PRICE | F2=QTY | G2=BUY PRICE | H2=SELL PRICE | I2=PROFIT/LOSS
B3=JAN | C3=12 DIVIDEND STOCKS | D3=TCS
B4=FEB | D4=CRISIL Ltd
B5=MAR | D5=Coal India Ltd
B6=APR | D6=HDFC Asset Management Company Ltd
B7=MAY | D7=ITC Ltd
B8=JUN | D8=ICICI Bank Ltd
B9=JUL | D9=JSW Steel Ltd
B10=AUG | D10=Indian Oil Corporation Ltd
B11=SEP | D11=Hindustani Uniliver
B12=OCT | D12=GNA Axles Ltd | E12=458.8
B13=NOV | D13=Exide Industries | E13=258.8
B14=DEC | D14=Oriental Aromatics Ltd | E14=367.9
B15=2023-10-10 00:00:00 | C15=EV MANUFACTUREERS | D15=Tata Motors
D16=Mahindra & Mahindra
D17=Olecrra Greentech
D18=Ashok Leyland
D19=Bajaj Auto
C20=EV CHARGING STATIONS | D20=Tata Power
D21=Reliance Industries
D22=Indian Oil Corp.
D23=Bharat Petroleum Corp.
D24=Hindustan Petroleum Corp
C25=EV BATTERIES & CHEMICALS | D25=Exide Industries
D26=Amara Raja Batteries
D27=Tata Chemicals
D28=Neogen Chemicals
D29=Himadri Speciality Chemicals
C30=EV COMPONENTS | D30=UNO MINDA
D31=Pricol
D32=Sona Comstar
D33=Gabriel India
D34=Samvardhana Motherson Ind
C35=EV SOFTWARE | D35=Tata Elxsi
D36=KPIT Technologies
D37=Cyient
D38=Axisxades Technologies
C39=METAL SECTOR | D39=Steel Authority of India Ltd
D40=JSW Steel Ltd.
D41=Jindal Steel and Power Ltd
D42=Tata Steel Ltd
D43=Hindalco Industries Ltd
D44=Hindustan Zinc Ltd
D45=Vedanta Ltd
D46=NMDC Ltd
D47=National Aluminium Company Ltd
D48=Hindustan Copper Ltd

===== SHEET Sheet3 (visible) 8x9 =====
B7=HDFC | C7=BUY PE | D7=29-03-23 | E7=1600PE | F7=1603 | G7=30.8 | H7=550 | I7==G7*H7 [cached=16940]
C8=EXIT PE | E8=1600PE | F8=1590 | G8=35.1 | H8=550 | I8==G8*H8 [cached=19305]

===== SHEET Sheet2 (visible) 16x11 =====
E7=SL | F7=ENTRY | G7=TARGET
B8=HDFC | D8=DOWN | E8=1614 | F8=1600 | G8=1560
B9=INFOSYS | D9=DOWN | E9=1568 | F9=1552 | G9=1500 | H9=1363
K14=1600
K15=1614
K16=1560
